,y,x,mass,size,ecc,signal,raw_mass,ep,orig_x,orig_y,Worm,Rep,RNAi,Genotype
605,95.62575180953286,1158.0318393937225,959.1106642971122,7.654183550294325,0.04020402665668093,3.5122362354542136,2457.0,0.011858890150933728,1221.037840375587,946.3435211267606,5,3,L4440_RNAi,JM259
621,57.340333209574396,1218.4101180905336,713.8845291909116,7.062740331952883,0.11978657615383011,3.602293574824835,2130.0,0.014155093417866893,1288.1437492115554,971.0033430049199,5,3,L4440_RNAi,JM259
645,90.40755734029506,1237.7588769380116,1450.7336799213315,7.904312042226396,0.052525569056637765,5.268354353181321,5140.0,0.005087519428777923,1273.654075361599,1006.4697374138681,5,3,L4440_RNAi,JM259
346,110.48100886002729,577.4789142715676,668.9711387258288,6.674181850511404,0.0785520130458683,3.286013132877615,1594.0,0.018209871507856634,712.2959789810373,522.2578630721194,7,3,L4440_RNAi,JM259
360,152.4679631997172,563.0415805601992,1081.7860909073377,7.274345436894897,0.09109727181054023,5.5276344948406395,2778.0,0.00895955410627637,671.5556183479325,539.9090373928605,7,3,L4440_RNAi,JM259
384,113.00924063981248,643.5455713600106,697.5518110908574,7.780390265583047,0.04642482801782738,2.496351062186095,1458.0,0.02065999296387236,754.9786371603856,572.7493061641835,7,3,L4440_RNAi,JM259
393,156.39653341516566,630.7386801689875,714.6951199158701,7.545615165755229,0.049936547702286754,2.80202670245378,1557.0,0.018816985598231216,714.3036318922194,592.548740064868,7,3,L4440_RNAi,JM259
426,119.85030517871616,732.8781104528707,726.387213156109,7.936626530139685,0.03505797910664548,2.3435132420522526,1188.0,0.028190124957532366,810.1649950904755,643.3295342965353,7,3,L4440_RNAi,JM259
433,158.97748739742366,702.794847347544,798.9851777196843,7.771223918312232,0.04534820635104309,2.9293915525653156,1723.0,0.01636859257143272,760.9861633616017,647.4986609704775,7,3,L4440_RNAi,JM259
470,165.20872534729097,794.871689259825,700.5321485834673,7.775945507364868,0.02618658643747427,2.394459182096867,1164.0,0.029134012376772045,818.4733646049234,719.6941929384386,7,3,L4440_RNAi,JM259
475,133.7861400479372,844.6812277534411,1786.7505362746865,7.492495615948604,0.06436838079031168,6.495607355688309,4797.0,0.004800878294549372,875.2644597465178,735.287156237971,7,3,L4440_RNAi,JM259
510,175.53720899479043,898.9835767338736,718.2103897789485,7.8714782755814605,0.07151661788752037,2.19067542191841,1192.0,0.02803872459965694,881.0503635396346,803.539776556127,7,3,L4440_RNAi,JM259
518,151.7756934719729,940.4372381954224,620.4451308333339,7.886415506046766,0.03938796952021942,2.6746618523422447,1339.0,0.02341687168532266,926.5496982386993,818.1283409286858,7,3,L4440_RNAi,JM259
575,177.19440804107126,1036.6304224265793,692.0496495660391,8.262828214009323,0.07833708375797808,2.419932152119174,1295.0,0.024632208221973664,972.6436984687869,906.3019361012956,7,3,L4440_RNAi,JM259
598,192.83193248271328,1085.9288679816898,1344.8709252977253,7.5426571842954,0.06195075092821401,5.400269644729104,3835.0,0.006164142746599805,994.3388324873097,953.2507386923252,7,3,L4440_RNAi,JM259
621,172.0693312169285,1147.5502266887715,1143.4306783613208,7.7240519441039845,0.10021813174202927,4.101148173591442,3078.0,0.007937856138725358,1051.222977187667,984.7542550347532,7,3,L4440_RNAi,JM259
651,192.95024379533794,1211.2639308791092,1095.9745352097627,7.774445243095159,0.11665046968029431,4.152094113636056,3140.0,0.007755090956581728,1078.7665543288786,1045.8836257989542,7,3,L4440_RNAi,JM259
669,180.10883660344996,1269.7424932635463,1018.358395551793,7.331206286968888,0.05315650640935626,4.126621143613749,3068.0,0.00796814424116059,1127.6821001550852,1080.4077242483365,7,3,L4440_RNAi,JM259
686,190.14762353293025,1304.7874859425076,1169.4640537241187,7.220541741800834,0.022503626271878647,5.425742614751411,3667.0,0.006485771811793599,1143.9003049444566,1113.0558266172948,7,3,L4440_RNAi,JM259
702,175.9282282595351,1344.0542335934879,1164.4968245697687,7.480316509079976,0.05618022098819059,4.967229154349883,4008.0,0.0058646590311112095,1180.8786393962594,1132.4638521273105,7,3,L4440_RNAi,JM259
239,59.868039150268075,454.88516791259724,652.9681519179297,7.479668308923775,0.050677791466347925,2.3751493855759795,1586.0,0.022908499827638044,569.9378599575629,366.38975447105184,2,3,L4440_RNAi,JM259
264,66.19046746246963,506.92763978212963,1642.4553859488826,7.62964873713175,0.06625754887855999,6.056630933218748,5245.0,0.005428003790549382,606.3355426478031,404.12038755392734,2,3,L4440_RNAi,JM259
280,76.28008354524442,544.7595972729916,994.7521485023132,8.048225055194372,0.05309657974899236,3.4439666090851704,2891.0,0.010662152112960989,629.3296987544271,435.81149269767997,2,3,L4440_RNAi,JM259
306,67.40288004018278,619.9770860400823,1961.240019316272,7.885736858001158,0.040447617285517226,6.412903341055144,6150.0,0.004566217024260946,693.2981390279348,476.3641005974487,2,3,L4440_RNAi,JM259
348,106.67421017319059,684.4683109887119,1105.0382516392244,7.6687604707307315,0.02937089928865898,4.23568307094383,3354.0,0.008962337001822888,718.574529822676,547.5150635858857,2,3,L4440_RNAi,JM259
365,87.87111760767577,748.2249126756833,2312.3662701505878,7.60435553914199,0.11106018535833531,8.313022849515928,7145.0,0.0038876119690810025,779.9097134248639,573.1364570137296,2,3,L4440_RNAi,JM259
395,116.95549075571053,794.7105459832037,1197.43156273813,7.750495735004221,0.031133128434699186,4.869056240430758,3560.0,0.008368725427724556,797.6387649178486,625.0257198585077,2,3,L4440_RNAi,JM259
426,119.16749314351114,887.9706670246098,953.7808216011275,7.881844626989146,0.0451530744969512,3.641895724549835,2965.0,0.010348457707541475,868.6142193077114,685.5635427907363,2,3,L4440_RNAi,JM259
438,109.00859698200873,941.9170265507753,1272.7237982608885,7.96312963274777,0.038971626938623695,5.02739953280249,3862.0,0.00762804004070384,916.8844825977419,711.7053590868092,2,3,L4440_RNAi,JM259
461,113.39330667783523,1045.6187669890826,862.2979844333594,7.841065151694948,0.029292267577145002,3.4043807859922373,2384.0,0.01345697937258895,994.5923426525272,780.514988752697,2,3,L4440_RNAi,JM259
462,147.43136923128336,996.0656996021735,1881.3162424916404,7.679163552556499,0.08889451572888861,7.125448156727939,5766.0,0.004896045191392996,934.6701735928459,775.6745502367176,2,3,L4440_RNAi,JM259
487,112.71578087268054,1136.59141407513,1784.6080766756052,7.754196769723299,0.03312643996777575,6.373317517962212,5418.0,0.005238992153436321,1065.6151900980435,837.3677520961803,2,3,L4440_RNAi,JM259
497,154.74838703890464,1102.4633753957885,1696.4504486476433,7.928108606637353,0.03199515177873647,5.621186879196484,5255.0,0.005416707649953326,1012.6206276980515,848.4600630031501,2,3,L4440_RNAi,JM259
505,111.46353531659318,1209.5953151591916,1435.0256729419139,7.757635293975546,0.0361606224315959,5.304500294453021,4375.0,0.0066310971710295446,1123.0566329204712,882.4412292074701,2,3,L4440_RNAi,JM259
515,153.18102429838402,1197.466109423404,1077.0906605356138,7.703415296188462,0.05819131273520115,4.116925601665031,3102.0,0.009813902592334826,1087.332095997648,907.1641736190231,2,3,L4440_RNAi,JM259
